Time	Fin	pitch rate	Az Demand	Az
0.83	-0.523599	0.0373034	-1	0.00509525
0.835	-0.523599	0.0381437	-1	0.00512436
0.84	-0.523599	0.0389941	-1	0.00514851
0.845	-0.523599	0.0398546	-1	0.0051685
0.85	-0.523599	0.0406648	-1	0.00518416
0.855	-0.523599	0.0415443	-1	0.00519898
0.86	-0.523599	0.0424338	-1	0.00520983
0.865	-0.523599	0.0433335	-1.34162	0.00522032
0.87	-0.523599	0.0442433	-1.34162	0.00522643
0.875	-0.523599	0.0451634	-1.34854	0.00523377
0.88	-0.523599	0.0460937	-1.34854	0.00523817
0.885	-0.523599	0.0470341	-1.35033	0.00524291
0.89	-0.523599	0.0479847	-1.35033	0.00524493
0.895	-0.523599	0.0489456	-1.36717	0.00524025
0.9	-0.523599	0.0499171	-1.36717	0.00523851
0.905	-0.523599	0.0508988	-1.36897	0.00523434
0.91	-0.523599	0.0518909	-1.36897	0.00522456
0.915	-0.523599	0.0528935	-1.37078	0.00521745
0.92	-0.523599	0.0539063	-1.37078	0.00520791
0.925	-0.523599	0.0549294	-1.37259	0.00519347
0.93	-0.523599	0.0559628	-1.37259	0.00517898
0.935	-0.523599	0.0570065	-1.39239	0.00516108
0.94	-0.523599	0.0580606	-1.39239	0.00513707
0.945	-0.523599	0.0591252	-1.39422	0.00511349
0.95	-0.523599	0.0602001	-1.39422	0.00508641
0.955	-0.523599	0.0612856	-1.39605	0.00505286
0.96	-0.523599	0.0623817	-1.39605	0.00502035
0.965	-0.523599	0.0634881	-1.39788	0.00498426
0.97	-0.523599	0.0646051	-1.39788	0.00494163
0.975	-0.523599	0.0657326	-1.4166	0.00489933
0.98	-0.523599	0.0668706	-1.4166	0.00485294
0.985	-0.523599	0.0680192	-1.41845	0.00479927
0.99	-0.523599	0.0691784	-1.41845	0.00474608
0.995	-0.523599	0.0703481	-1.4203	0.00468853
1	-0.523599	0.0715285	-1.4203	0.00462307
1.005	-0.523599	0.0727196	-1.42216	0.00455852
1.01	-0.523599	0.0739211	-1.42216	0.00448932
1.015	-0.523599	0.0751334	-1.44109	0.00441164
1.02	-0.523599	0.0763563	-1.44109	0.00433491
1.025	-0.523599	0.0775898	-1.44297	0.00425313
1.03	-0.523599	0.0787463	-1.44297	0.00415686
1.035	-0.523599	0.079996	-1.44484	0.00405774
1.04	-0.523599	0.0812554	-1.44484	0.00395358
1.045	-0.523599	0.0825247	-1.4401	0.00384046
1.05	-0.523599	0.0838043	-1.4401	0.00372002
1.055	-0.523599	0.0850938	-1.46408	0.00360137
